Respuesta, Fecha, Tipo, resultado
"b'{""message_id"":1}'",2023-02-26 01:08:34.050306,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:35.431239,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:36.840188,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:08:38.210927,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:08:39.570488,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:40.938765,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:42.317228,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:43.662832,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:45.012253,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:46.351943,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:47.700211,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:49.112947,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:50.461393,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:51.813765,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:53.162369,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:54.529174,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:55.883410,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:57.239034,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:08:58.582849,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:00.021756,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:01.379069,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:02.726479,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:04.120390,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:05.478452,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:09:06.831618,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:08.212628,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:09.574443,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:09:10.916424,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:12.263696,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:13.612559,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:14.970509,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:16.315181,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:09:17.669506,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:19.134407,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:20.492002,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:21.861991,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:23.227025,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:24.569348,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:09:25.930258,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:27.280623,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:28.641356,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:30.015082,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:31.359214,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:32.722662,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:34.085697,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:35.520859,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:09:36.872909,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:38.245923,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:09:39.594406,CLIENTES,ERROR
b'Server Error',2023-02-26 01:09:40.952666,PEDIDOS,ERROR
b'Server Error',2023-02-26 01:09:42.319991,CLIENTES,ERROR
b'Server Error',2023-02-26 01:09:43.686556,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:45.040841,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:46.389584,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:47.749088,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:49.104313,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:50.486129,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:51.833442,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:53.184265,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:09:54.570773,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:09:55.916013,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:09:57.304299,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:09:58.661645,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:00.116126,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:01.463060,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:10:02.826735,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:04.192051,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:05.545988,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:10:06.939856,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:08.295834,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:09.648583,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:10:10.997977,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:12.371383,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:10:13.730749,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:15.108669,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:16.448505,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:17.801696,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:19.151955,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:20.484820,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:21.831327,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:23.180255,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:24.532539,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:25.885392,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:27.240901,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:28.577196,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:29.937705,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:10:31.294614,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:32.644095,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:34.084629,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:10:35.443978,CLIENTES,ERROR
b'Server Error',2023-02-26 01:10:36.815740,PEDIDOS,ERROR
